TEST   :    I_0+1   I_0_d   I_2+1   I_6+1        J_0+1   J_0_d   J_2+1   J_6+1
method :      8.9    79.0     5.3     3.2         14.2  3650.7     6.8     3.6
ro/r   :     10.2     9.8     6.7     6.2         11.5    10.5     7.1     6.2
rw/r   :     10.0     7.0     6.7     6.2         11.3    11.5     7.0     6.2
rw/r+w :      4.5     5.2     3.2     3.0          4.7     5.5     3.2     2.9
rw/w   :      8.3    10.4     6.3     5.8          8.5    10.6     6.4     5.8
wo/w   :      8.2     9.6     6.2     5.8          8.3     9.8     6.2     5.8

TEST   :    I_0+1   I_0_d   I_2+1   I_6+1        J_0+1   J_0_d   J_2+1   J_6+1
method :      9.9    78.7     5.9     3.6       3356.5  2578.2  1896.7     3.3
ro/r   :     11.9    10.4    10.1     7.6       3346.4  3535.5  2237.3     6.1
rw/r   :     12.0    10.3    10.1     7.4       3428.2  3558.1  2147.6     6.0
rw/r+w :      5.5     6.9     4.5     2.4          4.8     9.3     6.1     2.4
rw/w   :     10.7    21.5     7.2     3.8         12.8    32.5    10.0     4.0
wo/w   :      9.1    16.5     7.2     3.8         10.6    23.4     8.0     3.9



TEST   :    I_0+1 I_0+1_p   I_0_d   I_2+1   I_6+1 I_6+1_p   J_0+1 J_0+1_p   J_0_d   J_2+1   J_6+1 J_6+1_p
method :      7.6    13.8    79.1     4.2     1.7     2.7    10.3    15.9  3645.2     4.3     1.7     2.7
ro/r   :     10.8    10.9    13.2     7.4     3.9    10.9    12.9    13.3    16.4     8.0     4.0    13.3
rw/r   :      9.3    12.6     7.9     7.4     3.9    12.6    12.6    15.9    20.7     8.1     4.1    14.8
rw/r+w :      6.1     8.1     6.1     4.1     2.1     8.1     6.3    11.9    16.3     4.1     1.5    11.9
rw/w   :     13.9    26.9    10.5    10.4     5.0    26.6    14.9  2310.7  2273.9    10.8     4.8  2441.4
wo/w   :     14.2    10.2    10.8    10.5     5.0     9.4    14.4  3523.5  3532.9    10.7     4.9  3649.8

TEST   :    I_0+1 I_0+1_p   I_0_d   I_2+1   I_6+1 I_6+1_p   J_0+1 J_0+1_p   J_0_d   J_2+1   J_6+1 J_6+1_p
method :      9.7     8.1    78.4     5.8     3.6     6.6  3324.1  3423.3  2413.3  2015.8     3.3     5.8
ro/r   :     11.3     9.4     9.7     9.8     7.4     9.5  3449.5  3535.5  3462.7  1613.1     6.0  3649.8
rw/r   :     11.3     9.4     9.6     9.7     7.4     9.3  3417.6  3418.4  3562.5  2334.9     6.0  3640.6
rw/r+w :      5.3     7.3     6.6     4.4     2.4     7.4     4.7     7.1     9.5     3.6     2.4     8.4
rw/w   :      9.9    14.5    21.1     8.2     3.7    14.4    11.7    19.4    31.2     9.4     3.8    19.4
wo/w   :      8.5    11.7    15.8     6.8     3.7    10.5    10.0    15.1    21.3     7.6     3.8    15.1
